Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,6.349999904632568,6.679999828338623,6.340000152587891,6.619999885559082,6.035035610198975,65727192
2015-01-05,6.579999923706055,6.650000095367432,6.360000133514404,6.46999979019165,5.898290157318115,49047814
2015-01-06,6.429999828338623,6.440000057220459,6.260000228881836,6.269999980926514,5.715962886810303,40441600
2015-01-07,6.21999979019165,6.340000152587891,6.150000095367432,6.170000076293945,5.6247992515563965,43194453
2015-01-08,6.28000020980835,6.28000020980835,6.150000095367432,6.210000038146973,5.661264419555664,23312046
2015-01-09,6.230000019073486,6.369999885559082,6.159999847412109,6.210000038146973,5.661264419555664,36459000
2015-01-12,6.289999961853027,6.289999961853027,6.130000114440918,6.190000057220459,5.643032073974609,26916498
2015-01-13,6.110000133514404,6.260000228881836,6.099999904632568,6.210000038146973,5.661264419555664,26881897
2015-01-14,6.28000020980835,6.320000171661377,6.139999866485596,6.159999847412109,5.615682601928711,22486500
2015-01-15,6.199999809265137,6.340000152587891,6.110000133514404,6.309999942779541,5.7524285316467285,24322239
2015-01-16,6.300000190734863,6.309999942779541,6.170000076293945,6.190000057220459,5.643032073974609,29093569
2015-01-19,6.110000133514404,6.119999885559082,5.550000190734863,5.690000057220459,5.187212944030762,71592735
2015-01-20,5.71999979019165,5.96999979019165,5.71999979019165,5.929999828338623,5.406005382537842,49257988
2015-01-21,5.980000019073486,6.059999942779541,5.929999828338623,6.050000190734863,5.515402793884277,28565000
2015-01-22,6.090000152587891,6.099999904632568,5.980000019073486,5.989999771118164,5.460704326629639,21901348
2015-01-23,6.099999904632568,6.130000114440918,5.940000057220459,5.96999979019165,5.442471027374268,34511293
2015-01-26,6.0,6.03000020980835,5.920000076293945,6.0,5.469820499420166,18092730
2015-01-27,6.019999980926514,6.070000171661377,5.920000076293945,6.059999942779541,5.524519443511963,29030640
2015-01-28,6.010000228881836,6.099999904632568,5.900000095367432,5.929999828338623,5.406005382537842,24067300
2015-01-29,5.849999904632568,5.949999809265137,5.760000228881836,5.78000020980835,5.269260883331299,31697000
2015-01-30,5.840000152587891,5.869999885559082,5.639999866485596,5.690000057220459,5.187212944030762,33834040
2015-02-02,5.690000057220459,5.690000057220459,5.690000057220459,5.690000057220459,5.187212944030762,0
2015-02-03,5.690000057220459,5.690000057220459,5.690000057220459,5.690000057220459,5.187212944030762,0
2015-02-04,5.690000057220459,5.690000057220459,5.690000057220459,5.690000057220459,5.187212944030762,0
2015-02-05,5.690000057220459,5.690000057220459,5.690000057220459,5.690000057220459,5.187212944030762,0
2015-02-06,5.690000057220459,5.690000057220459,5.690000057220459,5.690000057220459,5.187212944030762,0
2015-02-09,5.690000057220459,5.690000057220459,5.690000057220459,5.690000057220459,5.187212944030762,0
2015-02-10,5.690000057220459,5.690000057220459,5.690000057220459,5.690000057220459,5.187212944030762,0
2015-02-11,5.53000020980835,5.610000133514404,5.5,5.579999923706055,5.086933135986328,61581017
2015-02-12,5.519999980926514,5.909999847412109,5.519999980926514,5.860000133514404,5.342191219329834,59227507
2015-02-13,5.940000057220459,5.96999979019165,5.900000095367432,5.929999828338623,5.406005382537842,17975693
2015-02-16,5.929999828338623,5.96999979019165,5.860000133514404,5.909999847412109,5.387773513793945,10815600
2015-02-17,5.909999847412109,6.119999885559082,5.909999847412109,6.03000020980835,5.497170448303223,18490616
